average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0019613325906296573,0.0755937,0.8269853728512923,73.4,0.9,78.0909090909091,1.0909091,-0.000205428254280271,555,24,1.0,256,1024
2.7071757,-0.0024429146433249116,0.26984015,0.4699136094811062,78.12,1.04,76.32,1.36,0.017433326620210687,723,48,2.0,512,2048
2.7006946,-0.002061709050192601,0.42224237,0.3793707155726022,73.525,1.075,75.12820512820512,1.3333334,-0.03375532035826945,734,72,3.0,768,3072
2.698611,-0.0022503296786453575,0.59105015,0.32872108548569184,74.73076923076923,1.0192307,75.15686274509804,1.4509804,-0.06602829466724591,724,96,4.0,1024,4096
2.687905,-0.001968760099261999,0.7829059,0.20947439573705195,77.015625,1.09375,78.88888888888889,1.8730159,-0.012402069416217465,660,120,5.0,1280,5120
2.689456,-0.002985806558281183,0.8519803,0.2149518858641386,78.42666666666666,1.1466666,77.75,1.8552631,-0.00846416249445614,660,144,6.0,1536,6144
2.6877208,-7.523245178163051e-05,0.9115158,0.21140827089548112,76.47252747252747,1.1318681,77.78021978021978,1.7582418,0.0922664459410768,689,168,7.0,1792,7168
2.6894119,-0.0035371587285771967,0.77079153,0.25611861020326615,77.6,1.15,77.42,1.8,0.1196080621900536,669,192,8.0,2048,8192
2.686729,-0.004440916902385652,0.9766644,0.2885043102502823,77.32,1.25,79.42,1.92,0.02992505041493443,613,216,9.0,2304,9216
2.6757412,-0.006977872303687036,1.0916415,0.3011236642301083,77.72,1.32,80.63,1.97,0.19074402848909766,672,240,10.0,2560,10240
2.686032,-0.0058154827868565915,0.98157746,0.3305772848427296,78.68,1.44,80.33,1.95,0.025157874106914946,685,264,11.0,2816,11264
2.677626,-0.0033429650403559207,1.0838066,0.2923989038914442,78.91,1.51,78.93,1.82,0.108053884259384,649,288,12.0,3072,12288
2.6696656,-0.0055045514926314355,0.8519479,0.3218038219958544,76.39,1.52,77.42,1.55,0.18921720707889855,735,312,13.0,3328,13312
2.6642075,-0.005335204657167196,0.9477395,0.27590881690382957,77.89,1.51,80.29,1.66,0.046918896602284876,732,336,14.0,3584,14336
2.6376412,-0.005350311249494553,0.95595884,0.2581905519962311,80.2,1.66,80.45,1.76,-0.010443344499758034,743,360,15.0,3840,15360
2.6483512,-0.007214064281433821,1.0391605,0.28501046657562257,79.73,1.68,83.25,1.79,0.020921826997092108,738,384,16.0,4096,16384
2.6420302,-0.00594019902870059,1.0328203,0.2551820857077837,82.47,1.86,84.04,1.65,0.2584608578729024,733,408,17.0,4352,17408
2.6457837,-0.005766093097627163,1.2097032,0.2733359120041132,84.63,1.95,85.07,1.77,0.2560440396622927,716,432,18.0,4608,18432
2.6271808,-0.006060047885403037,1.1302129,0.2733759443461895,84.8,1.89,86.89,1.83,0.2805832533010707,694,456,19.0,4864,19456
2.6484492,-0.009256025413051247,0.9422606,0.25152835369110105,84.39,1.94,88.55,1.92,-0.022149835487604852,725,480,20.0,5120,20480
2.619736,-0.008904277114197612,0.98954237,0.22185277163982392,86.32,2.06,89.52,2.04,0.23742861431072815,738,504,21.0,5376,21504
2.6089075,-0.010603491133078933,1.055279,0.2226553350687027,88.11,2.03,91.26,2.08,0.41544715096656426,727,528,22.0,5632,22528
2.5875254,-0.011102421879768372,1.1233758,0.20741193801164626,89.79,2.18,91.37,1.95,0.29306583301501243,742,552,23.0,5888,23552
2.5663085,-0.008476756922900676,1.0993007,0.2019480948150158,91.17,2.22,93.07,1.92,0.39410835145902645,746,576,24.0,6144,24576
2.5096662,-0.011518343314528466,1.162145,0.22437766700983047,91.63,2.4,89.81,1.87,0.07570747294110058,730,600,25.0,6400,25600
2.5334537,-0.012051366092637182,1.3261455,0.2041255033016205,90.96,2.28,90.44,1.95,0.5564887516731412,731,624,26.0,6656,26624
2.576086,-0.008948185192421078,1.2047668,0.1945036432147026,90.37,2.17,89.8,1.84,0.5267511918138967,703,648,27.0,6912,27648
2.524579,-0.013274834817275405,1.099003,0.1791473240405321,89.41,2.08,91.44,1.88,0.501927005270294,683,672,28.0,7168,28672
2.5448518,-0.017206465434283016,0.9354409,0.15077125146985054,92.94,2.2,87.75,1.81,0.15443092042652828,725,696,29.0,7424,29696
2.5327582,-0.017011504555121064,0.9036093,0.13144639782607556,93.42,1.93,90.31,1.97,0.4572587495436492,738,720,30.0,7680,30720
2.5543575,-0.019611667804419995,1.0056789,0.15905167922377586,94.37,2.15,89.66,2.08,-0.14914937643537307,733,744,31.0,7936,31744
2.5632455,-0.020613262355327608,0.92512095,0.1537219077348709,92.47,2.03,88.5,2.08,0.2999902383985875,741,768,32.0,8192,32768
2.5303483,-0.01743406186811626,0.8628087,0.1484114135056734,92.04,1.99,88.48,2.24,0.43573677127701027,735,792,33.0,8448,33792
2.4937716,-0.013427876755595208,1.2600058,0.15339233316481113,90.29,1.75,90.49,2.3,0.41191795197988357,737,816,34.0,8704,34816
2.5170429,-0.015487096859142185,1.1235319,0.18463611453771592,89.7,1.86,90.08,2.36,-0.16159441089641557,729,840,35.0,8960,35840
2.4704635,-0.016952505409717558,1.1391212,0.21337018817663192,94.67,2.25,90.34,2.37,0.30354533835862174,686,864,36.0,9216,36864
2.4617374,-0.016279226113110782,1.1956086,0.22507612712681294,97.25,2.55,91.34,2.53,0.1222248855838245,690,888,37.0,9472,37888
2.4163866,-0.012453220738098025,1.5130991,0.24310511812567712,97.02,2.72,93.76,2.65,0.20166766806129033,734,912,38.0,9728,38912
2.4137135,-0.01637863459996879,1.4490888,0.2539574032276869,95.5,2.74,95.29,2.72,0.30967078871928233,708,936,39.0,9984,39936
2.4484594,-0.017901166612282395,1.4194309,0.23214479275047778,96.22,3.05,95.2,2.85,0.3107518530212383,727,960,40.0,10240,40960
2.4381597,-0.01887384663335979,1.4116875,0.2269695918262005,96.49,3.11,97.02,3.01,0.06874855409946867,742,984,41.0,10496,41984
2.4318388,-0.019235466765239836,1.4760169,0.21734639175236226,98.62,3.26,98.71,3.29,0.11328591789767017,741,1008,42.0,10752,43008
2.4210918,-0.015393175156787038,1.396498,0.18092617698013783,98.9,3.19,98.96,3.23,0.07173205428292417,733,1032,43.0,11008,44032
2.4465096,-0.014854652797803283,1.5537034,0.16915440686047079,100.01,3.33,98.23,3.16,0.29228724268044215,720,1056,44.0,11264,45056
2.446051,-0.018550832122564316,1.3980274,0.16058134026825427,98.5,3.07,100.1,3.45,0.37713640241343127,706,1080,45.0,11520,46080
2.4968078,-0.017171540185809134,1.3040394,0.15089035846292972,96.2,2.8,100.96,3.42,0.3103076649802712,700,1104,46.0,11776,47104
2.4956276,-0.01755753070116043,1.03829,0.1332072265446186,96.13,2.72,98.88,3.22,0.321080537961168,734,1128,47.0,12032,48128
2.426339,-0.019739969549700618,1.2827586,0.1228010257333517,96.84,2.7,97.97,3.19,0.5073626860281839,733,1152,48.0,12288,49152
2.469003,-0.019889178900048137,1.188255,0.1279769830405712,95.79,2.45,98.44,3.34,0.3190831910937939,730,1176,49.0,12544,50176
2.5133774,-0.022773324605077506,1.133216,0.14277382738888264,93.52,2.47,98.56,3.16,0.07876098823816702,728,1200,50.0,12800,51200
2.504976,-0.019802879840135575,1.1905184,0.14055214397609234,93.77,2.36,97.27,2.89,0.3840141611391875,737,1224,51.0,13056,52224
2.5137422,-0.02449882972985506,1.2363766,0.13373102813959123,91.97,2.36,97.67,2.94,0.3061029967005646,736,1248,52.0,13312,53248
2.455729,-0.021599732004106045,1.2734852,0.14584474630653857,92.74,2.4,96.27,2.91,0.05930638648689257,717,1272,53.0,13568,54272
2.4462998,-0.021261319890618323,1.3310536,0.13537516489624976,90.75,2.33,93.22,2.59,0.10067736251110648,689,1296,54.0,13824,55296
2.5097823,-0.01963104256428778,1.2375282,0.12741097703576088,93.26,2.43,92.77,2.53,0.38273705726596474,700,1320,55.0,14080,56320
2.5513515,-0.019777624756097793,1.2236643,0.14319551199674607,91.87,2.44,92.75,2.6,0.23139512193877265,742,1344,56.0,14336,57344
2.5372677,-0.0189155949652195,1.1788579,0.13822509191930293,91.2,2.45,94.05,2.8,0.1851568245393489,733,1368,57.0,14592,58368
2.514784,-0.02007013880647719,1.1887429,0.13890922859311103,88.94,2.35,94.31,2.64,0.14057898548737113,730,1392,58.0,14848,59392
2.518455,-0.02006202796474099,1.2925124,0.18288990177214146,89.11,2.41,94.52,2.92,0.03379862107800946,735,1416,59.0,15104,60416
2.4959457,-0.01735875114798546,1.5113432,0.19669332042336463,90.38,2.56,93.93,2.88,0.22261227964825914,729,1440,60.0,15360,61440
2.4938178,-0.020918432045727967,1.5526372,0.19079256989061832,91.75,2.7,96.25,2.98,0.378655078608763,727,1464,61.0,15616,62464
2.4903178,-0.020458245780318976,1.4507922,0.19068587638437748,89.06,2.52,94.27,3.01,0.22264618264133096,697,1488,62.0,15872,63488
2.553206,-0.021683850977569818,1.2923322,0.14968906506896018,87.87,2.5,96.67,3.17,0.35871090926735516,671,1512,63.0,16128,64512
2.5381637,-0.024008756140246987,1.2722,0.12275076180696487,88.21,2.51,96.11,3.06,0.43799925427038844,711,1536,64.0,16384,65536
2.5199034,-0.020623027523979546,1.0145366,0.12780001059174537,89.82,2.47,96.23,3.11,0.2550093735332465,720,1560,65.0,16640,66560
2.4758434,-0.023031269228085877,1.2418911,0.10940421402454376,91.05,2.4,96.05,2.88,0.4227011386607633,739,1584,66.0,16896,67584
2.441885,-0.026280712820589542,1.1599356,0.11160932552069426,90.15,2.27,96.35,2.89,0.29011375271047735,743,1608,67.0,17152,68608
2.4214525,-0.023685664692893623,1.0091931,0.13199490040540696,92.51,2.39,96.49,2.8,0.358984291360945,744,1632,68.0,17408,69632
2.3760858,-0.02882388168014586,1.1871133,0.11884800717234612,91.89,2.23,96.9,2.73,0.5449135335628417,738,1656,69.0,17664,70656
2.3933702,-0.02550987177528441,1.3736358,0.13359562885016202,93.42,2.28,96.38,2.72,0.5492072789862789,730,1680,70.0,17920,71680
2.4525468,-0.02519826911389828,1.0717447,0.13969724103808404,96.14,2.44,96.88,2.58,0.4392575174178084,703,1704,71.0,18176,72704
2.402946,-0.026761533338576556,1.2708477,0.12361105777323246,96.45,2.43,96.74,2.55,0.4434301090388968,691,1728,72.0,18432,73728
2.4082391,-0.027237902078777552,1.2142903,0.12925568290054798,99.46,2.59,96.48,2.72,0.06906405496400425,711,1752,73.0,18688,74752
2.442771,-0.02657568234950304,1.0325823,0.1193551879376173,98.4,2.6,98.58,2.86,0.24697761004460372,740,1776,74.0,18944,75776
2.395355,-0.02686981864273548,1.1932417,0.1273001377284527,96.9,2.63,100.54,2.99,0.4023481380638029,739,1800,75.0,19200,76800
2.4116137,-0.028080442510545253,1.1283921,0.16278291895985603,98.25,2.72,101.73,3.03,0.2620432289613325,735,1824,76.0,19456,77824
2.418417,-0.023113212585449218,1.0300971,0.17762970753014087,100.73,2.97,98.73,2.84,0.16444075273339076,724,1848,77.0,19712,78848
2.4654677,-0.027181438729166986,1.1516244,0.20493433244526385,100.36,2.99,98.9,2.84,0.23460790896037576,733,1872,78.0,19968,79872
2.445913,-0.024675599681213498,1.1385204,0.20764818996191026,97.41,2.86,95.5,2.84,0.27602426978282346,733,1896,79.0,20224,80896
2.4380386,-0.026172314854338765,0.9788698,0.17421746782958508,99.04,2.78,95.24,2.93,0.44653824941137754,695,1920,80.0,20480,81920
2.3877778,-0.030418673949316143,1.2124639,0.16260108508169652,99.33,2.73,98.99,3.27,0.32196277567459863,694,1944,81.0,20736,82944
2.4537213,-0.026522283954545856,0.9674878,0.14746491111814974,99.62,2.79,98.09,3.07,0.21209003469087617,712,1968,82.0,20992,83968
2.3757973,-0.027465482177212834,1.2595009,0.17425279758870602,98.99,2.88,95.66,2.96,0.1927837928370656,741,1992,83.0,21248,84992
2.4312556,-0.02461749984882772,1.0972754,0.1791561409085989,100.17,2.91,92.93,2.78,0.46204545400899044,734,2016,84.0,21504,86016
2.4554741,-0.02606429091654718,1.0080885,0.17479476004838942,99.15,2.85,91.65,2.78,0.3409121478390341,739,2040,85.0,21760,87040
2.3945694,-0.0228302267100662,1.3877721,0.17641950748860835,97.95,2.79,93.05,2.78,0.48010978807326954,737,2064,86.0,22016,88064
2.4067888,-0.024375361166894437,1.3093874,0.14538014568388463,95.79,2.53,93.38,2.66,0.22726347019939874,735,2088,87.0,22272,89088
2.406471,-0.026404686383903028,1.0702503,0.14726365908980368,97.05,2.61,94.65,2.72,-0.06392202744130748,735,2112,88.0,22528,90112
2.399302,-0.02690304320305586,1.1779004,0.16319346092641354,95.3,2.77,93.37,2.5,0.1772481177060271,691,2136,89.0,22784,91136
2.3851676,-0.025198017675429583,1.3591789,0.16026392348110677,94.03,2.8,90.46,2.18,0.4101695501251249,683,2160,90.0,23040,92160
2.3336127,-0.0275701729208231,1.4531846,0.1737355723977089,93.33,2.85,90.03,2.12,-0.015989753617139613,727,2184,91.0,23296,93184
2.3126266,-0.02575654348358512,1.2944877,0.18433591663837434,92.64,2.77,92.43,2.18,0.152474308317747,706,2208,92.0,23552,94208
2.3037493,-0.02438768995925784,1.2892295,0.19585754916071893,92.78,2.91,93.27,2.3,0.18683186631236537,726,2232,93.0,23808,95232
2.3627133,-0.026956596001982688,1.3006836,0.21319314934313296,93.18,3.03,95.25,2.42,0.16322472221354223,732,2256,94.0,24064,96256
2.3126354,-0.02649046682752669,1.3718817,0.19889221660792827,95.07,3.06,95.23,2.64,0.3721929380480702,730,2280,95.0,24320,97280
2.22739,-0.025107892975211144,1.3479006,0.188631774187088,96.84,3.13,96.47,2.89,-0.020732969921461786,728,2304,96.0,24576,98304
2.2637336,-0.02535960467532277,1.4968821,0.15684987522661686,98.9,3.2,96.99,2.95,0.39211785267639354,721,2328,97.0,24832,99328
2.325686,-0.027852054135873914,1.2407882,0.1414524345844984,100.15,3.27,97.28,3.07,0.4446965175376957,699,2352,98.0,25088,100352
2.3508663,-0.02415037451311946,1.4534595,0.13813764601945877,98.22,3.1,97.93,3.15,0.20928488885375407,695,2376,99.0,25344,101376
2.3168101,-0.025966835087165237,1.3919743,0.1339651860296726,101.3,3.15,100.15,3.3,0.29920140357824776,725,2400,100.0,25600,102400
2.3569062,-0.02661523605696857,1.4431927,0.14046558022499084,101.31,3.11,101.38,3.38,0.3753912087325988,734,2424,101.0,25856,103424
2.2122862,-0.02660778995603323,1.4453667,0.14922155894339084,102.09,3.11,102.83,3.42,0.2328430965294781,725,2448,102.0,26112,104448
2.2877765,-0.028378765750676393,1.3710682,0.13976509384810926,100.74,2.91,103.62,3.39,0.3667681877832315,719,2472,103.0,26368,105472
2.1778173,-0.027810675762593745,1.2520176,0.14299725010991096,99.16,2.85,102.4,3.51,0.3192376475890377,719,2496,104.0,26624,106496
2.2367778,-0.027180618215352295,1.2447867,0.174673106148839,99.64,3.03,99.57,3.26,0.04172564451789618,718,2520,105.0,26880,107520
2.315153,-0.030920437779277565,1.2687076,0.17414411872625352,99.17,3.08,96.9,3.14,0.31832254630172596,705,2544,106.0,27136,108544
2.3027315,-0.0302711614407599,1.153743,0.1751830881088972,98.15,3.01,98.2,3.19,0.2935740200493253,715,2568,107.0,27392,109568
2.2333205,-0.026805699151009322,1.13331,0.2363310354948044,99.88,3.21,100.01,3.27,0.27236981829992923,705,2592,108.0,27648,110592
2.2623503,-0.025868873121216895,1.1456177,0.21481122821569443,102.68,3.46,104.76,3.47,-0.013921882990733714,735,2616,109.0,27904,111616
2.1339555,-0.028997262483462693,1.3878776,0.20785322159528732,101.66,3.47,103.86,3.59,0.30856228946959796,718,2640,110.0,28160,112640
2.3236413,-0.028094695499166846,1.2530898,0.20299792259931565,102.71,3.38,101.98,3.54,0.1673615790694024,738,2664,111.0,28416,113664
2.1237593,-0.030702017536386846,1.4506893,0.15880852952599525,98.98,3.15,99.93,3.47,0.2311462831622737,734,2688,112.0,28672,114688
2.3163204,-0.03142592806369066,1.1998852,0.14200825445353984,101.41,3.28,101.65,3.66,0.48411279922208217,735,2712,113.0,28928,115712
2.2105615,-0.028473122343420983,1.2377857,0.15308490075170994,102.44,3.34,104.18,3.61,0.19372497099321528,732,2736,114.0,29184,116736
2.2206936,-0.03166240397840738,1.3024347,0.14938006237149237,104.02,3.18,105.06,3.48,0.2752818552712666,694,2760,115.0,29440,117760
2.2500396,-0.0335395716689527,1.0916715,0.12882472421973945,107.38,3.26,108.27,3.68,0.4440646166008365,698,2784,116.0,29696,118784
2.1177466,-0.03485831378027797,1.3554047,0.13350904326885937,105.18,3.18,106.42,3.59,0.25982719590337766,697,2808,117.0,29952,119808
2.2363956,-0.03349576821550727,1.4064944,0.12500523526221513,104.47,3.07,105.36,3.64,0.45767961477650265,711,2832,118.0,30208,120832
2.2900772,-0.03357669232413173,1.1702366,0.12880439031869173,104.14,3.05,100.76,3.25,0.5273893911032876,701,2856,119.0,30464,121856
2.1896603,-0.03273554650135338,1.4935983,0.15197267867624759,101.46,2.98,102.88,3.28,0.27116146587086554,715,2880,120.0,30720,122880
2.2095256,-0.033044533850625155,1.3479071,0.15022578082978724,103.32,3.13,103.68,3.28,0.48081370762707487,717,2904,121.0,30976,123904
